Timestamp,Filename,ProcessingTimeMs,StartTimestamp,EndTimestamp
2025-04-18 00:25:25,OKX-Books-GAS-USDT-SWAP-400-1740652798420-1740653538740.json,34,2025-04-18 00:25:25,2025-04-18 00:25:25
2025-04-18 00:25:25,OKX-Books-LUNC-USDC-400-1740645556569-1740648456442.json,35,2025-04-18 00:25:25,2025-04-18 00:25:25
2025-04-18 00:25:25,OKX-Books-ANIME-USDT-400-1740630203019-1740631339500.json,40,2025-04-18 00:25:25,2025-04-18 00:25:25
2025-04-18 00:25:25,OKX-Books-XNO-USDT-400-1740588653620-1740589171847.json,45,2025-04-18 00:25:25,2025-04-18 00:25:25
2025-04-18 00:25:25,OKX-Books-ATOM-USDT-SWAP-400-1740632354294-1740632934344.json,56,2025-04-18 00:25:25,2025-04-18 00:25:25
2025-04-18 00:25:25,OKX-Books-OXT-USDT-400-1740639688117-1740641222630.json,37,2025-04-18 00:25:25,2025-04-18 00:25:25
2025-04-18 00:25:25,OKX-Books-MINA-USDT-SWAP-400-1740668623464-1740669154428.json,42,2025-04-18 00:25:25,2025-04-18 00:25:25
2025-04-18 00:25:25,OKX-Books-ETH-USDC-250328-400-1740609756363-1740612007719.json,30,2025-04-18 00:25:25,2025-04-18 00:25:25
2025-04-18 00:25:25,OKX-Books-HBAR-USDC-400-1740634507498-1740635481749.json,42,2025-04-18 00:25:25,2025-04-18 00:25:25
2025-04-18 00:25:25,OKX-Books-1INCH-USD-SWAP-400-1740602173675-1740603400771.json,31,2025-04-18 00:25:25,2025-04-18 00:25:25
2025-04-18 00:25:25,OKX-Books-AIXBT-USDT-SWAP-400-1740587462178-1740587960535.json,83,2025-04-18 00:25:25,2025-04-18 00:25:25
2025-04-18 00:25:25,OKX-Books-RAY-USDT-SWAP-400-1740668758606-1740669245742.json,133,2025-04-18 00:25:25,2025-04-18 00:25:25
2025-04-18 00:25:25,OKX-Books-SUI-USDC-400-1740637993378-1740638948837.json,50,2025-04-18 00:25:25,2025-04-18 00:25:25
2025-04-18 00:25:25,OKX-Books-SWARMS-USDT-SWAP-400-1740632259897-1740632791322.json,72,2025-04-18 00:25:25,2025-04-18 00:25:25
2025-04-18 00:25:25,OKX-Books-DOGS-USDT-SWAP-400-1740614411137-1740614980433.json,54,2025-04-18 00:25:25,2025-04-18 00:25:25
2025-04-18 00:25:25,OKX-Books-MERL-USDC-400-1740600328917-1740601793868.json,43,2025-04-18 00:25:25,2025-04-18 00:25:25
2025-04-18 00:25:25,OKX-Books-SONIC-USDT-SWAP-400-1740598765767-1740599282244.json,86,2025-04-18 00:25:25,2025-04-18 00:25:25
2025-04-18 00:25:25,OKX-Books-SUI-USDT-400-1740650156414-1740650705943.json,66,2025-04-18 00:25:25,2025-04-18 00:25:25
2025-04-18 00:25:25,OKX-Books-SATS-USDT-SWAP-400-1740632645418-1740633148639.json,69,2025-04-18 00:25:25,2025-04-18 00:25:25
2025-04-18 00:25:25,OKX-Books-DOT-USD-SWAP-400-1740589255215-1740589839141.json,40,2025-04-18 00:25:25,2025-04-18 00:25:25
2025-04-18 00:25:25,OKX-Books-MINA-EUR-400-1740588660108-1740589514536.json,53,2025-04-18 00:25:25,2025-04-18 00:25:25
2025-04-18 00:25:25,OKX-Books-IOST-USDT-SWAP-400-1740626103687-1740626929425.json,55,2025-04-18 00:25:25,2025-04-18 00:25:25
2025-04-18 00:25:25,OKX-Books-JUP-USDT-SWAP-400-1740589962118-1740590473156.json,69,2025-04-18 00:25:25,2025-04-18 00:25:25
2025-04-18 00:25:25,OKX-Books-CORE-USDC-400-1740658026766-1740661264946.json,36,2025-04-18 00:25:25,2025-04-18 00:25:25
2025-04-18 00:25:25,OKX-Books-ZRO-USDC-400-1740615722750-1740616921685.json,35,2025-04-18 00:25:25,2025-04-18 00:25:25
2025-04-18 00:25:26,OKX-Books-QTUM-USDT-400-1740641751559-1740643237856.json,36,2025-04-18 00:25:25,2025-04-18 00:25:26
